00084489	Hamed Mosse	26/08/1990	141	Lieu Dit Chaluau	72360	Sarcé
00047749	Héloïse Francart	29/04/1919	22	La Renouliere	44116	Vieillevigne
00025366	Lilianne Ferreira Barbosa	27/06/2006	163	Avenue de la Hutiere	61150	Saint-Brice-Sous-Rânes
00008191	Isbert Vourgeres	20/09/1902	214	Rue du Commandant l’Herminier	44560	Paimbœuf
00003126	Marilyne Caillier	19/03/1907	230	Allee Jean Thezeloup	50230	Agon-Coutainville
00096513	Eliane Capdeville	29/05/1959	81	La Vigne	72610	Chérisay
00004332	Edith Taieb	16/10/1905	245	Impasse de la Pinconnerie	49700	Les Ulmes
00013810	Justin Haumesser	28/03/1960	122	Avenue de la Couaplais	35120	La Boussac
00087705	Gladys Rognard	13/11/1932	211	Avenue de la Richardiere	72150	Saint-Georges-De-La-Couée
00089063	Bruno Foltzer	15/11/1984	18	Le Prepaud	44640	Vue
00003378	Adeline Hamiche	17/06/1996	200	La Patinière	35120	Dol-De-Bretagne
00041759	Evie Nolard	21/04/1981	124	Zone d’Activite des Roitelieres	44330	Le Pallet
00053394	Luis Orain	07/09/2003	5	Avenue de la Ribardiere	61450	Banvou
00095474	Philippe Vitry	13/11/1964	55	L’Abbaye	35150	Corps-Nuds
00099078	Read Benyoucef	09/04/1945	204	Rimans	44310	Saint-Colomban
00044687	Rémy Diot	28/06/1955	169	La Corbetiere	50570	Carantilly
00008218	Fadella Simon-Jean	13/05/1959	59	Le Lievreau	44260	Malville
00009398	Mikael Danes	01/12/1934	69	Avenue de la Tesserie	72130	Saint-Paul-Le-Gaultier
00068469	Taoufiq Essomba	28/05/1993	230	Les Crennes	50300	Saint-Jean-De-La-Haize
00013129	Annabel Benitez	13/04/1906	46	Le Télégraphe	61160	Tournai-Sur-Dive
00090112	Sonia Silva	19/06/1987	152	Lotissement Noire Forge	61100	La Chapelle-Au-Moine
00085868	François Adell	20/06/1971	241	Allée de la Mettrie	35850	Romillé
00069828	Lina Demare	27/02/1923	59	Lot le Hameau de la Pelousiere	35630	Langouet
00004582	Catherine Lavaur	29/09/2002	187	Avenue de la Pecherie	35150	Piré-Chancé
00086882	Jean-Marie Masson	10/02/1904	238	Rue du Guesclin	35500	Vitré
00066389	Alex Soudant	09/11/1954	228	Rue du Coudray	72300	Vion
00082979	José Grolleau	03/09/2001	189	Le Bel	50570	Hauteville-La-Guichard
00080891	Farid Naegelen	11/04/1957	215	Le Tertre	53170	Le Bignon-Du-Maine
00061288	Florence Thoral	28/03/1920	150	La Tesserie	53440	La Bazoge-Montpinçon
00005738	Elise Dupuy	05/03/1973	202	Avenue de la Jaillette	49500	Segré-En-Anjou Bleu
00069376	Barbara Keita	15/01/1944	164	Hameau du Bas de Launay	50310	Fontenay-Sur-Mer
00002586	Louisette Lemee	31/01/1965	108	Route de la Mairie	49150	La Lande-Chasles
00054083	Sidonie Cha	02/06/1928	162	Allée Berthe Morisot	35310	Cintré
00048248	Ilana Rameau	30/09/1966	12	Rue du 124e Rgt d’Infanterie	53000	Laval
00082282	Jean-Jérôme Degave	12/07/1913	91	Le Rossignol	44530	Drefféac
00026964	Marie Vezilier	31/10/1933	16	L’Abbaye	35550	Lohéac
00055227	Hind Mouly	17/10/1981	248	Le Coudray	53440	Grazay
00032112	Jeannine Deutsch	08/02/1985	156	Lieu Dit Loche	72170	Chérancé
00075295	Rémy Rey	21/07/2007	12	Lieu Dit Moncel	61240	La Genevraie
00055457	Mikael Guignard	31/05/1942	71	Le Roquet	35250	Saint-Médard-Sur-Ille
00077701	Murielle Roth	17/08/1998	139	Le Castel	50330	Maupertus-Sur-Mer
00090432	Aymeric Gakou	30/04/1929	111	Le Bourg	50800	Boisyvon
00025167	Nicole Harlay	23/06/1988	48	Rue de Beaulorier	72170	Vivoin
00040307	Fernande Marrec	15/04/1921	241	Cite du Pavillon	49130	Les Ponts-De-Cé
00076631	Aimée Gryson	09/03/1901	201	La Bruère	35500	Saint-Aubin-Des-Landes
00071874	Anna-Maria Villena	24/10/1916	134	Rue dus Bouherees	72500	Saint-Pierre-De-Chevillé
00003471	Judy Demion	13/11/2000	171	La Charrie	44710	Port-Saint-Père
00020949	Jonathan Tanguy	12/03/1976	225	Avenue de la Cailletterie	61230	Résenlieu
00085341	Tiburce Guillemare	30/11/1906	40	La Chauvelais	44320	Frossay
00025732	Antony Serafini	06/08/1940	177	Rue du Jardin	61320	Chahains
00055775	Mélanie Eberhardt	18/05/1952	236	Le Poirier	53600	Mézangers
00013564	Sonia Marin	23/06/2006	102	Avenue de la Boissonniere	61120	Neuville-Sur-Touques
00036221	Marcelle Ponsen	13/08/1926	6	Rue Gustave Cardinal	44760	Les Moutiers-En-Retz
00048900	Isabel-Maria Spanier	29/09/1977	84	Lieu Dit Ligni	61400	Saint-Hilaire-Le-Châtel
00087504	Omer Brelivet	26/03/1938	53	La Clossais	35490	Gahard
00001303	Yvon Aksoy	19/05/1903	21	Avenue de la Bigne	61210	Bazoches-Au-Houlme
00043182	Sébastien Briere	06/02/1991	39	La Gertellerie	50360	Crosville-Sur-Douve
00037784	Said Marsac	15/09/1927	175	Avenue de la Baronniere	72800	Thorée-Les-Pins
00049205	Titiana Gossez	01/07/1928	104	La Boutellerie	50680	Saint-Jean-De-Savigny
00030275	Nadege Vivier	01/01/1907	237	Lotissement du Champ de la Croix	72390	Le Luart
00017175	Yoann Cormier	18/11/1991	73	Avenue de la Fontaine	61570	Montmerrei
00011906	Graziella Le Scornet	28/09/1950	243	Les Brosses	53410	Bourgon
00085782	Henriette David	28/09/1976	79	Avenue de la Lande	49220	Erdre-En-Anjou
00094303	Hubert Bonnot	13/12/1915	157	Lieu Dit Hamel	61550	La Ferté-En-Ouche
00094811	Josseline Blondeau	23/12/2009	189	Le Brossay	49140	Montreuil-Sur-Loir
00086398	Genoveva Dannelongue	19/08/1909	8	La Vicliniere	50190	Saint-Martin-D'Aubigny
00020208	Gautier Bretel	04/06/1938	15	Les Fontaines	53810	Changé
00025943	Louena Sakton	22/03/1944	239	Route de Barneville	50270	Saint-Jean-De-La-Rivière
00008750	Miguel Carbon	20/08/1911	197	Gaine	53220	Larchamp
00029574	Ali Mace	29/11/1961	168	La Basse	53240	Saint-Germain-D'Anxure
00056726	Aline Cortes	25/02/1978	18	La Poterie	72140	Neuvillette-En-Charnie
00059842	Pierrick Pras	12/06/1984	93	Le Bigeois	50500	Auvers
00080666	Geneviève Rouyer	13/09/2009	105	La Maltiere	35580	Guichen
00092962	Tony Marmet	30/11/1914	221	Allee du Petit Chesnay	72110	Beaufay
00061727	Fabio Guilluy	19/12/1925	138	La Perrière	53290	Saint-Denis-D'Anjou
00086592	Natalene Trunde	08/10/1958	52	La Planchette	50600	Grandparigny
00013232	Garance Berthelot	22/10/1924	149	Le Hamelin	50210	Belval
00001207	Mania Duchaille	08/05/1977	110	Lieu Dit Vauferment	61370	Sainte-Gauburge-Sainte-Colombe
00018444	Bernard Paumard	26/02/1944	169	Le Rocher	53800	Congrier
00088317	Antoinette Besnard	09/11/2009	213	Les Places	35480	Guipry-Messac
00023604	Alain Chapon	21/01/1941	237	Le Bourg	61200	Fleuré
00057268	Alban Portalier	14/11/1966	5	Rue dus Ruaux	35130	Arbrissel
00027633	Marilyne Le Goff	30/05/1993	125	Rue des Acacias	72800	Coulongé
00055127	Marie-Josee Rochelle	01/05/1980	248	Lotissement de la Gastonnerie	72150	Villaines-Sous-Lucé
00069275	Xavier Vasseur	11/07/1984	44	La Cidrerie	50310	Éroudeville
00098798	Lina Delatre	20/01/1951	41	Les Buzinières	44140	Geneston
00044419	Patrick Delaby	08/11/1973	79	Les Rangeardières	49124	Saint-Barthélemy-D'Anjou
00056229	Nicole Henrard	03/06/1988	207	Avenue de la Touche	72300	La Chapelle-D'Aligné
00080720	Jaouida Winum	03/06/1935	96	La Cauvinerie	50000	Rampan
00037677	Claire Poupard	14/07/1930	33	Rue du Planier	61230	Gacé
00055539	Aurore Ruyer	12/12/1977	214	Ld le Champ de la Vinaudiere	72460	Sillé-Le-Philippe
00095074	Norbert Vital	25/11/2005	44	Rue Montechat	49400	Distré
00059237	Colette Mouret	10/10/1971	204	Village Vircoq	61450	La Ferrière-Aux-Étangs
00056221	Emmanuelle Villette	27/02/1982	135	Place de l’École	50200	Gratot
00048025	Christine Gloria	05/02/1919	186	Avenue de la Fratralerie	50620	Amigny
00010773	Pascal Moulet	21/03/1904	120	La Brosse	44320	Saint-Viaud
00007784	Colette N'Diaye	15/09/1995	27	La Touche	61700	Champsecret
00024089	Amelin Hontarrede	18/01/1961	12	La Bouchefoire	44330	La Regrippière
00082093	Harrison Issoire	30/01/1956	221	Boubalin	44810	Héric
00063466	Michel Zamora	16/03/1934	120	Avenue de la Pitardiere	72220	Saint-Mars-D'Outillé
00044016	Blandine Quintin	31/08/1921	127	Le Chesnot	35630	Saint-Gondran
00019281	Marcelin Mao	30/09/1938	5	Hameau des Rues	35370	Brielles
00038494	Bernard Parmentier	07/02/1916	137	Lieu Dit l’Augoterie	72600	Louvigny
00050575	Janique Joux	01/01/1981	171	Avenue de la Blanchisserie	72130	Saint-Aubin-De-Locquenay
00026627	Myriam Baudoin	25/02/1979	229	La Venerie	50330	Canteloup
00009790	Marina Gobert	04/12/1998	110	Route du Val	50310	Fresville
00032840	Roxana Lanux	12/08/1908	193	Rue de Beau Seuil	50170	Pontorson
